TRANSACTION_NO,ACCOUNT_NO,TRANSACTION_DATE,TRANSACTION_DETAILS,CHQ_NO,VALUE_DATE,WITHDRAWAL_AMT,DEPOSIT_AMT,BALANCE_AMT
78132,FPAX08619802151760,24-04-2022 03:23,Cheque,306267,10-07-2022 03:23,760124,336257,993149
213686,YDLQ81460533360345,01-05-2022 09:56,RTGS,968620,19-06-2022 09:56,422950,26709,503384
482398,KKBD64665694281304,15-04-2022 21:31,Other,541595,19-06-2022 21:31,66850,204959,919612
109125,VKDY77236710277206,29-05-2022 02:32,NEFT,455513,02-08-2022 02:32,319671,907709,16709
884735,VRPE86037058226646,30-05-2022 00:53,IMPS,988427,09-06-2022 00:53,829966,500192,860663
192749,AFQR08204931043797,28-04-2022 17:47,RTGS,209286,21-05-2022 17:47,122846,44989,668097
42984,GDHB43815946513611,12-05-2022 03:40,RTGS,121328,11-07-2022 03:40,694761,695351,783431
906362,WFOI28088586584027,05-05-2022 06:21,IMPS,532634,24-05-2022 06:21,987517,226438,414491
601017,WAPT36420888842560,06-04-2022 23:02,Other,201391,07-05-2022 23:02,21990,167503,869524
607426,BRHX00729157542426,28-04-2022 21:05,Other,546529,03-07-2022 21:05,947913,255917,110864
752221,KNSR25057192013862,24-04-2022 01:10,IMPS,312342,12-07-2022 01:10,650091,338595,91982
203149,RAJI90404321096189,04-04-2022 00:05,NEFT,97286,05-06-2022 00:05,37892,92123,725080
525175,FVFO36307373806550,19-04-2022 00:08,IMPS,913210,22-07-2022 00:08,894516,832904,41624
84924,HYLG54487296590488,06-06-2022 07:49,Other,903284,13-09-2022 07:49,828341,349394,548080
555540,PNFZ45244710731943,13-04-2022 03:47,NEFT,861793,11-07-2022 03:47,950760,632942,715212
580844,BCDY04772175580149,04-04-2022 10:26,Other,423713,02-05-2022 10:26,388093,844352,924859
485925,QRNT51838606170639,06-06-2022 00:20,NEFT,154715,12-09-2022 00:20,513165,737713,814147
314109,HNVE42848877953821,18-04-2022 01:45,RTGS,15451,12-07-2022 01:45,882021,613509,162032
277088,UISY81231545699974,10-06-2022 09:34,NEFT,201025,08-08-2022 09:34,373277,266549,433638
231511,GTVA68291119167587,08-04-2022 01:19,RTGS,523978,16-05-2022 01:19,789725,31688,799402
119666,CBSY90601106620921,12-05-2022 16:18,Cheque,548200,21-06-2022 16:18,976893,852030,962289
125820,PYKQ00838468512918,29-04-2022 23:57,IMPS,776235,17-05-2022 23:57,920310,169655,469252
764608,EYHR18857833483694,01-05-2022 20:24,Other,148324,12-07-2022 20:24,694847,317993,534591
427528,UQCS93705154994909,05-04-2022 23:19,RTGS,266066,10-05-2022 23:19,910347,629020,505569
849733,XJUS91100378255552,25-05-2022 12:38,Cheque,558782,10-06-2022 12:38,420605,111434,187098
782930,WRVM73908866387045,25-04-2022 18:34,NEFT,931808,18-07-2022 18:34,196513,934422,579801
896187,WLHC84364028433454,15-05-2022 01:37,Cheque,88780,06-08-2022 01:37,102795,486552,57095
426116,ZFKZ28676876049312,10-05-2022 10:52,NEFT,627646,18-06-2022 10:52,123527,495987,958588
719936,NYLT33535752932956,12-05-2022 03:14,IMPS,914669,28-06-2022 03:14,322525,970666,104026
302217,VGRG29971736051159,24-05-2022 17:11,IMPS,738036,12-06-2022 17:11,568009,622713,918249
362178,KNFL58130788567673,17-06-2022 16:47,Cheque,452002,17-07-2022 16:47,528504,83954,783135
798282,SQHU42542311112972,11-04-2022 06:04,RTGS,6248,20-06-2022 06:04,94563,199495,715687
72231,HROS59238711611420,27-04-2022 06:47,Other,158471,03-07-2022 06:47,538627,343550,967921
43120,QWRF19096039379836,10-05-2022 09:32,Cheque,503579,12-07-2022 09:32,401355,656673,588357
279609,RCAH81516000245489,19-06-2022 05:43,Other,484324,29-07-2022 05:43,696122,895498,612951
145085,LMGK04558956914789,12-06-2022 13:25,IMPS,958614,05-08-2022 13:25,473066,676107,591162
464793,QJWB08210747074620,01-06-2022 22:49,Cheque,645074,17-08-2022 22:49,120578,872522,350061
420389,FLYB07646836174859,12-05-2022 07:30,IMPS,60023,11-07-2022 07:30,604617,575066,503686
858812,KYHX73815441389173,22-04-2022 20:34,IMPS,866591,05-05-2022 20:34,880104,395561,618709
215226,KOHU18107301844395,22-05-2022 08:48,Other,126977,05-08-2022 08:48,799499,996493,897438
107471,GURW40879946739974,15-04-2022 07:18,Cheque,228572,09-06-2022 07:18,428499,411499,189261
515445,FIFK95444309631608,13-05-2022 09:43,Cheque,6564,17-08-2022 09:43,519958,110181,892166
558329,JKPO01153137471165,10-05-2022 22:32,NEFT,163037,19-07-2022 22:32,235771,636761,948107
973181,ETUI49774339320933,05-05-2022 02:18,Other,882343,17-06-2022 02:18,551262,529641,803462
118902,YMFV31616958638710,18-05-2022 07:17,Other,413857,27-07-2022 07:17,665450,449940,358429
312597,EVPV28304132782461,01-05-2022 10:42,NEFT,643138,28-07-2022 10:42,725343,575806,662271
659876,TEVC94835214150414,09-06-2022 03:01,IMPS,207343,06-08-2022 03:01,504652,427030,813273
874731,PYKQ00838468512918,10-04-2022 20:32,RTGS,826633,05-05-2022 20:32,573322,741866,8784
693817,PVME57788595344544,19-04-2022 03:23,Other,683041,11-07-2022 03:23,478835,689734,222293
389434,JQYF06104431687040,13-04-2022 12:18,Cheque,293724,02-05-2022 12:18,36869,47946,387568
625605,TGEJ64773697337097,03-05-2022 15:32,NEFT,920927,24-07-2022 15:32,808647,487743,699527
489941,LEMH09590585889676,07-05-2022 21:04,IMPS,750872,03-08-2022 21:04,661951,259228,880349
9199,BIMT42219828684248,24-05-2022 06:29,RTGS,835892,03-06-2022 06:29,131253,25687,957370
745243,GIMW31671117875767,27-04-2022 21:53,Other,547098,26-07-2022 21:53,997294,222370,975075
568021,SDMI10700522134035,30-05-2022 03:01,Other,899290,12-07-2022 03:01,879840,815649,368938
402874,OFQY93849794914883,09-06-2022 06:54,RTGS,907101,25-08-2022 06:54,324344,489213,596876
121623,XOCT83640302680259,31-05-2022 05:17,Other,726300,14-08-2022 05:17,150759,553632,821570
324870,CJBU60433571286001,12-05-2022 03:41,NEFT,810395,14-06-2022 03:41,712685,167024,82122
269393,UGDK72605527092804,17-04-2022 11:42,RTGS,299472,16-05-2022 11:42,425908,545295,364219
745102,GRYP39103505277283,09-04-2022 04:20,NEFT,328909,07-05-2022 04:20,322027,161048,447601
378419,EGMP57658409728121,19-04-2022 05:30,Other,750969,22-06-2022 05:30,143909,445290,219888
25887,TEVC94835214150414,18-06-2022 23:21,RTGS,452739,14-07-2022 23:21,545302,312010,96913
951702,TSXH86005113747395,12-06-2022 04:39,NEFT,422769,16-07-2022 04:39,454302,512314,297359
815652,AASD16983002507781,20-05-2022 13:19,Other,548004,01-08-2022 13:19,375307,700681,608845
422212,KWUH54107662587895,22-04-2022 22:39,IMPS,909730,03-06-2022 22:39,93749,804424,836361
368007,PVME57788595344544,13-04-2022 17:21,NEFT,242478,20-04-2022 17:21,928968,617741,543158
969051,LOXE46581178777694,06-04-2022 21:39,RTGS,352796,19-04-2022 21:39,912153,657838,722770
943490,WFSF46118975597980,18-06-2022 05:05,Cheque,594461,07-07-2022 05:05,403822,291249,578788
418125,OUGN66702036331406,19-05-2022 20:52,NEFT,677044,23-05-2022 20:52,28595,483474,226319
884073,WNQV91480390428180,27-04-2022 19:11,RTGS,734381,20-06-2022 19:11,722287,850091,804559
322801,SLAV88069240868188,12-05-2022 23:18,NEFT,981151,10-08-2022 23:18,325042,705400,149739
311731,GWZG01652389631898,15-04-2022 04:13,IMPS,284542,23-07-2022 04:13,392970,180245,699491
205123,DVAI33092089439033,13-05-2022 03:00,RTGS,280085,29-06-2022 03:00,551118,366618,438997
71842,JCMJ83713200668119,19-04-2022 12:30,RTGS,817614,05-05-2022 12:30,177164,446302,277984
337628,DOTZ81184261907479,01-05-2022 00:04,Cheque,739475,06-08-2022 00:04,306671,878150,604247
41994,FPXD16831604118668,22-04-2022 08:48,NEFT,340778,19-07-2022 08:48,392733,773429,258899
640239,VHQK33495930929575,14-04-2022 06:38,IMPS,785653,15-07-2022 06:38,977787,214975,563184
242554,GZXK28311808188267,03-05-2022 18:52,NEFT,367500,10-06-2022 18:52,718346,820925,62898
832821,PKXA47070071112171,12-05-2022 20:20,RTGS,134724,14-07-2022 20:20,622926,370578,393068
125998,ITMF23790479037462,15-06-2022 13:40,NEFT,872171,14-07-2022 13:40,855883,507896,703159
527742,ZXWE79443757420581,18-06-2022 15:08,IMPS,927114,22-07-2022 15:08,455160,859881,475984
155166,YTLK31308946852090,29-05-2022 17:56,Cheque,570307,09-07-2022 17:56,154529,40830,302501
878201,PJPM48705952838968,29-05-2022 07:11,Other,255802,01-08-2022 07:11,96198,756089,652008
438208,VEHL72516801679031,03-05-2022 14:37,IMPS,301954,05-07-2022 14:37,730518,263134,528185
787376,OFBW15317170776229,10-05-2022 11:18,Other,205931,21-06-2022 11:18,497879,836839,441263
986805,GPQE95524946067213,26-05-2022 12:48,NEFT,647866,02-09-2022 12:48,333602,395004,875324
892341,PVID06750051357236,11-05-2022 03:26,Cheque,762327,20-06-2022 03:26,486763,253315,98555
835867,VGSG01267502495019,05-05-2022 20:41,Cheque,741260,27-05-2022 20:41,822992,939245,276026
268243,KALZ15223119893441,12-06-2022 04:50,RTGS,395521,31-07-2022 04:50,662574,81940,424655
358164,WSPS29732676222885,27-05-2022 11:49,NEFT,862262,04-07-2022 11:49,878932,810592,209383
754250,CPYI09647337289337,15-06-2022 05:40,Other,772022,18-08-2022 05:40,535993,331838,639010
248990,IIIL01520790919203,08-06-2022 10:29,Cheque,837037,23-06-2022 10:29,468206,688837,115548
606410,FESM80385876464614,21-05-2022 17:12,Cheque,238872,06-07-2022 17:12,441928,273611,755799
425707,JZGN46882455083891,07-06-2022 14:15,NEFT,872440,09-08-2022 14:15,408382,203225,764781
275561,DUSW82630218119842,02-05-2022 03:23,Other,611237,10-07-2022 03:23,169831,277358,397750
484035,SRQW34035103475867,16-05-2022 18:39,RTGS,264650,08-07-2022 18:39,111079,589601,939462
793584,KZRM82781198805923,09-05-2022 23:38,RTGS,709084,15-06-2022 23:38,791651,322411,140719
360982,ZLIH51685808730981,06-04-2022 02:17,IMPS,639693,28-06-2022 02:17,361417,736355,18364
103406,SZHJ79482072170191,04-04-2022 14:40,IMPS,299146,22-06-2022 14:40,856014,404820,578454
691826,ERBS14353422281520,01-06-2022 22:28,NEFT,810581,26-07-2022 22:28,67902,798124,29839
314383,PBXM86696741174282,26-05-2022 14:04,RTGS,839997,23-08-2022 14:04,221397,901734,820819
417449,FTLH07181881254605,07-04-2022 06:00,Other,342605,10-04-2022 06:00,275304,275333,225553
9955,UXLV26791251102158,10-04-2022 05:56,Cheque,41450,19-05-2022 05:56,746513,539078,345991
920647,VFTL59440325618106,06-05-2022 08:10,RTGS,95466,23-07-2022 08:10,723379,483990,681008
949783,NOAH24964053008204,08-04-2022 04:13,Cheque,651671,11-05-2022 04:13,274836,947534,92832
561988,JXOE37303731316223,07-06-2022 21:46,Cheque,713526,29-07-2022 21:46,309385,702604,622069
490440,TPRT31778901604071,15-05-2022 04:00,IMPS,800754,19-08-2022 04:00,988514,578948,950818
685216,TLWT05422074682049,04-06-2022 23:05,Other,877846,18-06-2022 23:05,122871,717869,201693
588775,HBVW88124127589377,02-04-2022 19:48,Cheque,662343,22-06-2022 19:48,857450,41558,758945
172628,YOFY44755391072187,08-04-2022 15:38,Cheque,862146,07-06-2022 15:38,503611,133012,519587
637720,CRTQ97294195568204,27-04-2022 00:57,Cheque,350851,17-05-2022 00:57,564305,405197,798107
66651,XXZC61513041299499,22-05-2022 18:52,Cheque,732041,22-06-2022 18:52,209843,391621,333933
606403,PFUG50054022759046,16-04-2022 16:44,Other,419417,09-06-2022 16:44,122396,716361,315735
240303,TVQP87123824513672,18-06-2022 09:58,IMPS,740672,08-07-2022 09:58,484491,545433,46327
344859,EQXB83092368026992,24-04-2022 12:35,RTGS,146931,08-05-2022 12:35,410082,376656,262760
723890,VZZT79882195846807,13-04-2022 16:42,NEFT,652219,07-05-2022 16:42,705625,329222,147279
85425,RQYG42742736310426,21-04-2022 08:12,NEFT,731421,06-07-2022 08:12,577573,60398,674934
319389,PDLE06400810650683,24-04-2022 20:17,NEFT,248841,09-05-2022 20:17,671004,480850,522504
227284,BEEK54633387193213,15-06-2022 08:00,Other,138438,20-07-2022 08:00,446133,51226,137079
380364,ZHFF58079903643947,12-06-2022 22:12,IMPS,215305,09-08-2022 22:12,875895,525433,123659
583229,FMWF64967651387037,18-05-2022 22:40,RTGS,567959,04-06-2022 22:40,4236,129130,865491
773005,OZYI50021987561106,03-06-2022 08:11,IMPS,414947,04-06-2022 08:11,386355,48889,344724
898216,YIFS59626472986090,16-04-2022 07:47,Other,361768,14-07-2022 07:47,768617,743601,91154
630847,DZXC78955207054354,01-06-2022 07:47,NEFT,346178,18-06-2022 07:47,446292,924150,651491
174336,TZJE09543229777881,09-05-2022 16:54,Cheque,561778,18-05-2022 16:54,409843,772795,639558
360206,DERU51404544823479,04-06-2022 05:16,IMPS,434474,18-08-2022 05:16,471257,201034,919872
270844,DOTT16023547734934,29-05-2022 16:04,NEFT,672002,22-08-2022 16:04,443261,934170,385725
891687,AZOV08161023922534,30-04-2022 01:32,NEFT,702439,26-06-2022 01:32,569007,336362,193857
161247,NXSG45200492785104,13-04-2022 18:59,Other,734887,15-04-2022 18:59,734040,673653,793524
835476,SLAV88069240868188,27-04-2022 22:07,Cheque,289953,03-05-2022 22:07,602848,383596,787392
534064,BVMW81426175120494,02-06-2022 13:45,Other,228448,28-07-2022 13:45,962342,621639,689738
695871,KYHX73815441389173,26-05-2022 17:46,RTGS,310804,06-06-2022 17:46,768940,30266,394383
799526,PFGL63848360483868,08-05-2022 22:07,Other,871169,02-06-2022 22:07,529894,926967,137808
204752,LRVT95706015925698,18-04-2022 05:29,IMPS,911136,17-07-2022 05:29,207491,770222,300017
877140,RQHI50769207424795,03-04-2022 22:15,RTGS,29043,04-06-2022 22:15,84976,668117,739786
617305,YAHX12420912868521,09-05-2022 21:43,Other,138539,15-06-2022 21:43,337096,770621,428573
61052,ZAZN07399371740075,07-06-2022 15:37,IMPS,746773,03-07-2022 15:37,839776,414901,170715
872292,GJXP50893712398619,16-04-2022 22:31,Cheque,495898,01-07-2022 22:31,600698,867247,225716
359050,AFYH59598310821775,05-05-2022 01:16,RTGS,466780,21-07-2022 01:16,497025,814953,380132
67607,FGON92444495557506,09-06-2022 10:46,NEFT,550806,21-08-2022 10:46,615913,816448,352314
725644,KDXB51403820148803,29-04-2022 19:08,RTGS,920502,05-07-2022 19:08,602149,956474,529616
722319,KRDO74903735435635,24-04-2022 09:44,Other,139662,30-07-2022 09:44,349127,739901,762083
842741,YTLK31308946852090,27-05-2022 05:23,RTGS,127802,13-08-2022 05:23,888203,99224,249355
143451,DNYK53929683127175,04-05-2022 19:27,Cheque,107163,03-06-2022 19:27,199809,104196,266047
349293,JVUB13937912308126,25-05-2022 15:31,NEFT,18970,10-06-2022 15:31,379597,488407,611892
17157,ZYYZ82741580338846,20-06-2022 23:40,IMPS,415717,18-07-2022 23:40,896031,661743,430657
125599,VQUV84201801394499,10-04-2022 01:18,Cheque,761948,29-04-2022 01:18,72244,784709,879020
157591,YQBK95551444402836,17-05-2022 20:24,Other,216229,29-07-2022 20:24,492905,334209,563310
581554,NGAS83030649072697,13-04-2022 03:26,Cheque,250651,28-06-2022 03:26,30876,589317,424682
802567,BQXR99604381765067,09-05-2022 00:44,Other,290955,21-06-2022 00:44,367466,492128,37237
189718,ASPL43114330281036,16-05-2022 13:35,RTGS,416897,12-08-2022 13:35,874219,652740,618116
555578,IGTZ34833732285889,29-05-2022 00:30,RTGS,790309,06-06-2022 00:30,100751,68167,764605
225506,RWFX01803103523507,17-05-2022 04:47,Other,105494,15-07-2022 04:47,725471,906438,154125
509106,AHOT48057430831540,27-05-2022 17:06,Cheque,207787,08-07-2022 17:06,305578,346211,938928
833142,HROE47976053887002,25-04-2022 11:58,NEFT,134749,30-04-2022 11:58,740277,811445,4675
713699,UQKG91805467936922,16-05-2022 14:27,Cheque,981923,01-08-2022 14:27,465460,875919,852123
688332,YHDG20120451567172,15-06-2022 12:52,Cheque,768793,29-07-2022 12:52,171099,52526,660756
54010,NUHZ26134981474582,09-04-2022 15:39,Other,373211,21-05-2022 15:39,938236,240219,857866
361981,NYPV73722216694099,18-06-2022 18:12,Cheque,296088,25-06-2022 18:12,95611,82800,267916
513783,LZWC84019705307003,16-05-2022 12:16,Other,55024,18-07-2022 12:16,224867,513012,370779
30445,BUIJ11917856845150,12-05-2022 17:14,IMPS,14754,30-07-2022 17:14,782722,721057,150900
238410,QSGR94502559406858,21-04-2022 03:20,NEFT,893616,11-07-2022 03:20,931477,733577,833948
354920,GFBT58997412017151,20-06-2022 07:18,NEFT,949957,09-08-2022 07:18,760753,193220,498344
789632,NUPU80106632798470,11-05-2022 21:45,IMPS,928785,10-08-2022 21:45,136576,470264,298867
209206,BWFN07316958978947,01-05-2022 23:59,IMPS,784388,14-07-2022 23:59,785173,436153,877081
424321,FIGI42450756842484,10-04-2022 03:23,Other,561145,29-04-2022 03:23,945003,637469,972542
157381,GLQH67827251320213,14-06-2022 15:46,Other,488805,07-09-2022 15:46,874059,586854,647619
967540,MMLQ90638085685658,04-04-2022 23:59,NEFT,839468,08-05-2022 23:59,912631,992156,517892
339879,UHYO95996043361776,09-06-2022 23:16,RTGS,895456,29-06-2022 23:16,109555,298437,27368
737733,EOZC36225642806890,25-05-2022 12:33,Other,507416,15-07-2022 12:33,991685,741657,730775
944032,OFBW15317170776229,15-06-2022 13:28,NEFT,362282,10-07-2022 13:28,755987,109627,83737
685916,ORVW27644271225914,06-04-2022 18:21,NEFT,781518,04-07-2022 18:21,101857,890110,636917
837201,LHVR63842488606701,12-04-2022 14:16,Cheque,896014,16-07-2022 14:16,791020,162843,115921
346565,KASK31901391640650,10-06-2022 22:45,RTGS,481946,21-07-2022 22:45,369087,936626,450314
728095,WVAE01015780608331,22-05-2022 11:53,RTGS,802954,17-08-2022 11:53,185425,722008,981605
817247,CUJE70577647092582,15-06-2022 13:32,RTGS,881375,07-09-2022 13:32,962509,909190,142080
876144,LVUJ52506933088204,29-05-2022 10:00,IMPS,538241,07-08-2022 10:00,170662,391713,993643
38359,DPWH35142752610511,16-05-2022 22:18,IMPS,303121,21-05-2022 22:18,551671,483576,315022
799233,YZQL77563033495562,16-04-2022 21:24,IMPS,110633,17-06-2022 21:24,471887,187370,724098
558828,VKIG29124585636522,05-05-2022 15:37,RTGS,742619,08-06-2022 15:37,275164,599204,835726
198778,TPOQ33416263905804,23-05-2022 09:28,RTGS,480558,13-08-2022 09:28,174028,351391,612722
1781,JHYG29633805353824,05-04-2022 23:56,RTGS,211111,14-06-2022 23:56,686389,894794,86173
359665,BPLN24453677422699,25-04-2022 02:40,RTGS,391394,01-07-2022 02:40,661367,544505,319330
700786,QUHL14248667709474,11-04-2022 21:02,IMPS,643691,14-06-2022 21:02,618976,36052,28252
545039,ZTLN44622025193671,13-04-2022 14:36,IMPS,98264,04-05-2022 14:36,564251,638851,30658
763665,IHEE69495121241325,22-04-2022 22:10,NEFT,478043,24-06-2022 22:10,253425,592080,136958
60569,YQBK95551444402836,20-04-2022 00:45,Other,689946,18-05-2022 00:45,127795,901579,801150
552216,CMSA65995813073751,04-04-2022 05:27,NEFT,148093,18-06-2022 05:27,268091,494543,865232
333946,NXMU46133258776274,01-05-2022 18:14,Other,547919,27-05-2022 18:14,598536,271439,441156
604412,UUBQ35540037995728,05-05-2022 05:16,Other,421432,06-06-2022 05:16,189143,858135,675257
537555,RJGQ36373998830130,18-05-2022 20:08,Other,621573,13-07-2022 20:08,803910,492135,513190
908588,ADXV51025129832811,10-04-2022 17:47,RTGS,671533,02-05-2022 17:47,640452,143694,802647
928093,PPFQ65182476261087,21-04-2022 06:29,RTGS,153340,13-07-2022 06:29,306315,790537,359311
248143,VMGM45595354131479,12-06-2022 10:50,Other,525419,03-08-2022 10:50,864832,742842,151968
913801,FKZW68914908036421,11-04-2022 02:05,RTGS,710815,14-07-2022 02:05,479062,483543,973518
390610,OGAW97127009384734,11-06-2022 20:34,NEFT,683648,16-06-2022 20:34,351869,213765,291759
361352,HTYC91157197053196,29-04-2022 10:44,Other,989109,08-06-2022 10:44,682348,25354,385871
416987,LMYS22146327089767,10-05-2022 09:14,IMPS,105319,30-06-2022 09:14,911844,279082,640603
665362,JJEQ33065872063092,06-06-2022 16:54,RTGS,304284,14-07-2022 16:54,898534,734627,9434
441437,UHYO95996043361776,17-06-2022 21:28,IMPS,628573,31-08-2022 21:28,27565,530751,144140
477391,YCKI34485964180222,11-04-2022 16:03,Other,185185,01-07-2022 16:03,692861,289448,851092
111770,GLLI89010566089452,12-04-2022 16:52,Other,808958,22-05-2022 16:52,916568,427901,563331
112374,IRRF57926244602201,23-04-2022 22:36,Cheque,484654,19-06-2022 22:36,552271,792359,100352
115270,XSXW82101521566248,27-04-2022 20:14,Cheque,143232,16-05-2022 20:14,275952,709867,350821
428241,IBCB63523815578002,10-04-2022 08:57,IMPS,183774,28-04-2022 08:57,659798,532871,749556
596386,JNUA13143630837904,28-05-2022 05:03,Cheque,504659,08-07-2022 05:03,208483,306844,736671
938849,ZQTT97100052553407,03-06-2022 21:51,IMPS,62472,25-06-2022 21:51,800376,54105,185161
20278,ZWWH64191974145829,20-04-2022 10:38,Cheque,524237,24-04-2022 10:38,60041,55644,42403
586683,HROE47976053887002,23-05-2022 17:45,RTGS,177811,15-08-2022 17:45,573705,808774,566034
855653,THRW96571488422505,02-04-2022 21:30,Other,196852,27-05-2022 21:30,647976,672559,761965
612436,ZGFH05009678843091,06-06-2022 23:17,IMPS,388849,05-07-2022 23:17,359008,759653,138703
695633,WTTD27981874634381,28-04-2022 14:02,RTGS,907433,24-06-2022 14:02,46487,200575,891072
579613,YIFS59626472986090,13-04-2022 06:34,NEFT,219203,06-07-2022 06:34,649094,337173,10607
457085,CQHH18362079940135,28-05-2022 18:10,Other,820772,25-08-2022 18:10,154545,777721,324715
893740,DDKQ21414593998385,16-06-2022 02:06,Other,916670,22-09-2022 02:06,729583,985138,583602
141379,SAVF99936440785122,16-06-2022 05:44,IMPS,122889,25-06-2022 05:44,481980,498135,822440
367697,HSMW89492926949585,16-06-2022 18:01,IMPS,659766,14-07-2022 18:01,70718,569354,69599
179796,QYLL40046133616460,01-06-2022 20:56,NEFT,749039,02-06-2022 20:56,856742,10179,355170
662993,CHIH20255014128360,17-04-2022 03:28,NEFT,50281,16-06-2022 03:28,956034,263904,968364
151323,YFAU44565621202608,09-06-2022 17:03,Cheque,823393,11-06-2022 17:03,847995,272316,923463
553925,AZBK93792526298038,18-04-2022 11:49,IMPS,720421,15-06-2022 11:49,385118,593342,660266
381902,JUOE73230251476129,19-04-2022 05:54,Other,450357,24-06-2022 05:54,451867,388703,470139
409842,WNQV91480390428180,04-06-2022 06:44,Cheque,467214,23-07-2022 06:44,411306,814323,46271
266138,LARE49696371920774,25-05-2022 04:41,IMPS,841195,09-06-2022 04:41,137780,552208,657003
181538,DJCI78262905046915,09-04-2022 18:58,RTGS,59013,16-04-2022 18:58,254837,574176,35410
994703,ERBS14353422281520,08-04-2022 18:38,Other,580744,13-05-2022 18:38,200311,883061,868075
950903,PTER71136575574722,18-04-2022 23:24,NEFT,920448,11-07-2022 23:24,873807,881652,707012
761440,BWAF20912052781668,12-06-2022 15:24,Cheque,665545,02-07-2022 15:24,445421,863467,786498
875705,WXHE92422082550022,10-06-2022 19:11,RTGS,87761,14-06-2022 19:11,97881,791939,559772
519661,ITMF23790479037462,29-04-2022 09:32,RTGS,179742,01-08-2022 09:32,137698,38694,142979
57058,DKKW28027038566604,04-04-2022 23:44,IMPS,754238,03-06-2022 23:44,182133,14220,762024
337590,DALG15268549598837,17-04-2022 21:00,RTGS,106688,18-06-2022 21:00,416428,554160,641878
515602,TVFM57901284217870,24-05-2022 15:37,Other,680893,08-06-2022 15:37,117533,493825,226496
620572,BTQT80310112902236,26-04-2022 01:49,Other,331564,17-06-2022 01:49,209140,775753,892773
183355,DNNX47208850429171,10-04-2022 21:12,NEFT,127114,17-06-2022 21:12,757518,632739,147307
620935,QMDM64730253171712,14-05-2022 23:54,Cheque,795786,09-08-2022 23:54,390210,570795,899672
438887,JVPY97596297523004,30-05-2022 23:04,IMPS,557792,06-08-2022 23:04,869095,274189,532002
54643,RBQJ85576110594496,18-06-2022 21:10,IMPS,557610,17-09-2022 21:10,625402,424245,492996
509928,OMHJ66881089587168,12-04-2022 20:12,Other,501376,28-04-2022 20:12,434128,300440,779011
561021,KIFV12573054077015,19-06-2022 08:27,Other,337122,29-06-2022 08:27,552480,548504,313269
381460,IJEW04839719292855,09-04-2022 03:04,RTGS,500036,07-05-2022 03:04,300628,515381,60301
669694,ZFKZ28676876049312,15-05-2022 16:50,Cheque,503782,16-05-2022 16:50,490253,265055,961207
950046,SCZD10568402341640,07-06-2022 18:20,NEFT,829843,11-09-2022 18:20,861151,129778,512522
142937,XFFE07712759855675,03-06-2022 14:25,Cheque,607510,08-06-2022 14:25,967040,443522,691225
570133,CBSY90601106620921,13-04-2022 10:51,Cheque,42863,09-05-2022 10:51,902330,358104,85682
89194,RWFX01803103523507,24-05-2022 17:05,Cheque,146690,30-05-2022 17:05,570240,466310,612770
917204,QFRK69310316904563,07-04-2022 16:27,NEFT,670265,28-06-2022 16:27,941626,22358,8481
987503,UNHN02423493852788,21-06-2022 04:46,IMPS,576381,22-06-2022 04:46,180955,115796,946769
417723,CIQR24903466466759,28-04-2022 09:44,NEFT,248105,19-05-2022 09:44,389007,421863,675485
617767,ZYXM51226025222888,16-04-2022 02:57,Cheque,767761,27-04-2022 02:57,502975,976737,258024
66858,XGZM18910369184879,28-05-2022 05:14,IMPS,408242,01-09-2022 05:14,430183,256237,329082
189297,RMFN13048643490310,07-05-2022 01:02,Cheque,326149,11-06-2022 01:02,490712,889934,337594
369792,QHPD31998478394272,06-05-2022 02:33,RTGS,64295,19-06-2022 02:33,528956,237815,835761
18915,PIQR61616140147221,10-05-2022 04:03,Other,379805,10-08-2022 04:03,752899,656053,517201
962309,FIGI42450756842484,11-04-2022 04:24,RTGS,773770,27-05-2022 04:24,295508,314346,144463
183348,HXBG32719566231771,22-05-2022 03:25,IMPS,60372,28-05-2022 03:25,257090,439699,324173
402846,BQVK64205640392364,25-05-2022 21:54,IMPS,167807,27-05-2022 21:54,734759,11078,39708
798968,IHOU53726231918779,07-04-2022 08:25,RTGS,611511,08-04-2022 08:25,810382,859487,473078
684596,TYFE22498920075366,12-05-2022 22:47,Cheque,342453,10-06-2022 22:47,854676,253747,304873
182156,EIYX28882003506484,19-05-2022 16:45,Cheque,395267,25-08-2022 16:45,945572,85820,21184
976242,GGMJ20522421217079,05-04-2022 05:20,Other,608459,02-05-2022 05:20,932172,610149,498430
83204,NXMU46133258776274,12-05-2022 17:23,Other,160319,16-08-2022 17:23,41401,931825,406940
656362,ZTCP23384868220988,27-05-2022 13:58,IMPS,183274,24-08-2022 13:58,67591,178986,77756
413487,YUSP13579436456649,23-04-2022 03:06,IMPS,965799,26-05-2022 03:06,239081,464786,934908
160262,NYLT33535752932956,29-04-2022 10:56,Cheque,924546,30-07-2022 10:56,927970,771632,182825
75352,TTWN65495556349791,29-05-2022 17:27,IMPS,50112,04-07-2022 17:27,749466,494440,591716
4111,CQXE53264570445007,09-04-2022 23:33,Other,237454,25-05-2022 23:33,932577,602728,10712
698772,IUTM13841798163462,24-04-2022 22:39,Cheque,84667,17-05-2022 22:39,115232,269009,577344
66221,KALZ15223119893441,20-04-2022 12:49,RTGS,737753,17-05-2022 12:49,19076,684776,332532
